Date,Open,High,Low,Close,Volume,Adj Close
2015-06-04,211.0700,211.8600,209.7500,210.1300,151882820,210.1300
2015-06-05,209.9500,210.5800,208.9800,209.7700,121704676,209.7700
2015-06-08,209.6400,209.8200,208.3900,208.4200,89063330,208.4200
2015-06-09,208.4500,209.1000,207.6900,208.4500,105034690,208.4500
2015-06-10,209.3700,211.4100,209.3000,210.9600,134551285,210.9600
2015-06-11,211.4800,212.0900,211.2000,211.6500,73876447,211.6500
2015-06-12,210.6400,211.4800,209.6800,209.9300,135382369,209.9300
2015-06-15,208.6400,209.4500,207.7900,209.1000,124384184,209.1000
2015-06-16,208.9300,210.3500,208.7200,210.2500,85308227,210.2500
2015-06-17,210.5900,211.3200,209.3600,210.5900,126708635,210.5900
2015-06-18,211.3100,213.3400,210.6300,212.7100,165867949,212.7100
2015-06-19,211.4600,211.5500,210.3600,210.8100,130478689,210.8100
2015-06-22,211.9100,212.5900,211.6400,211.8900,70696027,211.8900
2015-06-23,212.1400,212.4400,211.5700,212.0500,68476797,212.0500
2015-06-24,211.7200,212.1700,210.4700,210.5100,92307318,210.5100
2015-06-25,211.1000,211.2500,209.7700,209.8300,97107361,209.8300
2015-06-26,210.2900,210.5800,209.1600,209.9000,104174840,209.9000
2015-06-29,208.0500,209.8300,205.3300,205.4700,202621332,205.4700
2015-06-30,207.2600,207.3200,205.2800,205.8900,182925106,205.8900
2015-07-01,207.7300,208.0300,206.5600,207.5700,135979873,207.5700
2015-07-02,208.0700,208.2700,206.8100,207.3200,104373652,207.3200
2015-07-06,205.7700,207.6500,205.5300,206.6700,117975369,206.6700
2015-07-07,206.9600,208.1700,204.1100,208.0100,173820249,208.0100
2015-07-08,206.4200,206.7600,204.2500,204.5300,164020059,204.5300
2015-07-09,207.0400,207.3500,204.7700,204.8000,144113107,204.8000
2015-07-10,207.2900,207.9800,204.9500,207.4800,129456890,207.4800
2015-07-13,208.9900,209.9000,208.9400,209.7600,106069400,209.7600
2015-07-14,209.7200,211.0500,209.6500,210.7200,81709575,210.7200
2015-07-15,210.7300,211.2800,210.0400,210.6300,97914141,210.6300
2015-07-16,211.8700,212.3000,211.5800,212.2700,106683266,212.2700
2015-07-17,212.2900,212.5500,211.8000,212.4700,89029973,212.4700
2015-07-20,212.7500,213.1800,212.2100,212.6200,70446821,212.6200
2015-07-21,212.4300,212.7400,211.3900,211.7600,77965048,211.7600
2015-07-22,210.9300,211.7700,210.8900,211.2900,88667920,211.2900
2015-07-23,211.5300,211.6500,209.7500,210.1400,90509128,210.1400
2015-07-24,210.3000,210.3700,207.6000,207.9400,117754979,207.9400
2015-07-27,208.0000,208.0000,206.2600,206.7400,132361082,206.7400
2015-07-28,207.7900,209.5000,206.8000,209.3100,123544845,209.3100
2015-07-29,209.4800,211.0400,209.3100,210.7700,105791255,210.7700
2015-07-30,210.1600,211.0200,209.4200,210.8200,91304374,210.8200
2015-07-31,211.4200,211.4500,210.1600,210.4500,103266857,210.4500
2015-08-03,210.4600,210.5300,208.6500,209.7300,113965728,209.7300
2015-08-04,209.7000,210.2500,208.8000,209.3200,81820823,209.3200
2015-08-05,210.4500,211.3100,209.7300,210.1000,85786817,210.1000
2015-08-06,210.2900,210.4200,207.6500,208.3500,116030803,208.3500
2015-08-07,208.1600,208.3400,206.8700,207.9200,117857956,207.9200
2015-08-10,209.2800,210.6700,209.2800,210.6300,80270676,210.6300
2015-08-11,208.9700,209.4700,207.7600,208.6600,126081377,208.6600
2015-08-12,207.1100,209.1400,205.3600,208.9200,172123672,208.9200
2015-08-13,208.7300,209.5500,208.0100,208.7000,89383253,208.7000
2015-08-14,208.4300,209.5100,208.2600,209.3600,72786528,209.3600
2015-08-17,208.7100,210.5900,208.1600,210.5600,79072643,210.5600
2015-08-18,210.2600,210.6800,209.7000,209.9300,71692678,209.9300
2015-08-19,209.0900,210.0100,207.3500,208.2800,172864412,208.2800
2015-08-20,206.5100,208.2900,203.9000,204.0100,194327884,204.0100
2015-08-21,201.7300,203.9400,197.5200,197.6300,346588469,197.6300
2015-08-24,187.4900,197.4800,182.4000,189.5000,507244300,189.5000
2015-08-25,195.4300,195.4500,186.9200,187.2300,369833071,187.2300
2015-08-26,192.0800,194.7900,188.3700,194.6800,339256986,194.6800
2015-08-27,197.0200,199.4200,195.2100,199.1600,274143906,199.1600
2015-08-28,198.5000,199.8400,197.9200,199.2400,160414352,199.2400
2015-08-31,198.1100,199.1300,197.0100,197.5400,163298816,197.5400
2015-09-01,193.1200,194.7700,190.7300,191.7700,256000392,191.7700
2015-09-02,194.6200,195.4600,192.4200,195.4100,160269331,195.4100
2015-09-03,196.2600,198.0500,194.9600,195.6500,152087836,195.6500
2015-09-04,192.8500,193.8600,191.6100,192.5900,207080961,192.5900
2015-09-08,195.9400,197.6100,195.1700,197.4600,116025739,197.4600
2015-09-09,199.3200,199.4700,194.3500,194.7600,149347735,194.7600
2015-09-10,194.5600,197.2200,194.2500,195.8500,158611063,195.8500
2015-09-11,195.3800,196.8200,194.5300,196.7400,119691212,196.7400
2015-09-14,196.9500,197.0100,195.4300,195.9800,79451983,195.9800
2015-09-15,196.6100,198.9900,195.9600,198.4500,113806176,198.4500
2015-09-16,198.8200,200.4100,198.4100,200.1400,99581557,200.1400
